Word,Synonyms
activist,activistic
actual,existent
actual,genuine;literal;real|factual
acute,acute accent;ague
acute,intense|discriminating;incisive;keen;knifelike;penetrating;penetrative;piercing;sharp|acuate;sharp;needlelike
adamant,diamond
adamant,adamantine;inexorable;intransigent
adapted,adapt;accommodate|adjust;conform;adapt
adapted,altered
adaptive,adaptative
addicted,addict;hook
addictive,habit-forming
additional,extra
additive,linear
addressed,address;turn to|address;speak|address;direct|address|address|address;call|address|cover;treat;handle;plow;deal;address|address;accost;come up to|address
adept,ace;champion;sensation;maven;mavin;virtuoso;genius;hotshot;star;superstar;whiz;whizz;wizard;wiz
adept,expert;good;practiced;proficient;skillful;skilful
adequate,equal
adequate,decent;enough|passable;fair to middling;tolerable
adhesive,adhesive material;adhesive agent
adjacent,next;side by side|conterminous;contiguous;neighboring
adjunct,accessory;ancillary;adjuvant;appurtenant;auxiliary|assistant
adjusted,adjust;set;correct|align;aline;line up;adjust|adjust;conform;adapt|adjust|adjust
adjusted,familiarized;familiarised
adjuvant,accessory;adjunct;ancillary;appurtenant;auxiliary
admired,admire;look up to|admire
adolescent,stripling;teenager;teen
adolescent,teen;teenage;teenaged|jejune;juvenile;puerile
adopted,adopt;follow;espouse|adopt;borrow;take over;take up|assume;adopt;take on;take over|assume;acquire;adopt;take on;take|adopt;take in|dramatize;dramatise;adopt|espouse;embrace;adopt;sweep up
adopted,adoptive
adoptive,adopted
adorable,endearing;lovely
adored,adore
adored,idolized;idolised;worshipped
adoring,adore
adoring,worshipful|doting;fond
adorned,decorate;adorn;grace;ornament;embellish;beautify|deck;adorn;decorate;grace;embellish;beautify|invest;clothe;adorn
adorned,decorated
adrenal,adrenal gland;suprarenal gland
adrenocorticotropic,adrenocorticotrophic
adrift,afloat;aimless;directionless;planless;rudderless;undirected
adult,grownup
adult,big;full-grown;fully grown;grown;grownup|pornographic
advance,progress;progression|improvement;betterment|overture;approach;feeler|progress;progression;procession;advancement;forward motion;onward motion|cash advance|rise
advance,progress;pass on;move on;march on;go on|throw out|boost;supercharge|promote;boost;further;encourage|bring forward|gain;win;pull ahead;make headway;get ahead;gain ground|progress;come on;come along;get on;get along;shape up|promote;upgrade;kick upstairs;raise;elevate|set ahead|gain
advance,beforehand|advanced;in advance
advanced,advance;progress;pass on;move on;march on;go on|advance;throw out|boost;advance;supercharge|promote;advance;boost;further;encourage|advance;bring forward|gain;advance;win;pull ahead;make headway;get ahead;gain ground|progress;come on;come along;advance;get on;get along;shape up|advance|promote;upgrade;advance;kick upstairs;raise;elevate|advance|advance;set ahead|advance;gain
advanced,forward-looking;innovative;modern|sophisticated|ripe|advance;in advance
advancing,advance;progress;pass on;move on;march on;go on|advance;throw out|boost;advance;supercharge|promote;advance;boost;further;encourage|advance;bring forward|gain;advance;win;pull ahead;make headway;get ahead;gain ground|progress;come on;come along;advance;get on;get along;shape up|advance|promote;upgrade;advance;kick upstairs;raise;elevate|advance|advance;set ahead|advance;gain
advancing,forward;forward-moving
adventurous,adventuresome
adverse,inauspicious;untoward|contrary
advertised,advertise;publicize;advertize;publicise|advertise;advertize;promote;push
advised,rede;advise;counsel|advise;notify;give notice;send word;apprise;apprize|propose;suggest;advise
advised,well-advised
advisory,consultative;consultatory;consultive
aegean,Aegean;Aegean Sea
aegean,Aegean|Aegean
aeolian,Aeolian;Eolian|Aeolian
aeolian,Aeolian|Aeolian
aerial,forward pass|antenna;transmitting aerial
aerial,aeriform;airy;aery;ethereal
aerobic,aerophilic;aerophilous
aerodynamic,streamlined;flowing;sleek
aeronautical,aeronautic
aesthetic,esthetic
aesthetic,esthetic|esthetic;aesthetical;esthetical
aesthetic,esthetic;artistic
affable,amiable;cordial;genial
affected,affect;impact;bear upon;bear on;touch on;touch|affect|involve;affect;regard|feign;sham;pretend;affect;dissemble|affect;impress;move;strike
affected,unnatural|moved;stirred;touched
affecting,affect;impact;bear upon;bear on;touch on;touch|affect|involve;affect;regard|feign;sham;pretend;affect;dissemble|affect;impress;move;strike
affecting,poignant;touching
affectionate,fond;lovesome;tender;warm
affiliated,consort;associate;affiliate;assort|affiliate
affiliated,attached;connected
affirmative,affirmatory
affirmative,optimistic|approving;approbative;approbatory;plausive
affixed,affix;stick on|append;add on;supplement;affix|affix
afflicted,afflict|afflict;smite
afflicted,stricken|impaired
affluent,feeder;tributary;confluent
affluent,flush;loaded;moneyed;wealthy
affordable,low-cost;low-priced
afghan,Afghan;Afghanistani|Pashto;Pashtu;Paxto;Afghani;Afghan|sheepskin coat|Afghan hound;Afghan
afghan,Afghani;Afghan;Afghanistani
afghani,Pashto;Pashtu;Paxto;Afghani;Afghan
afghani,Afghani;Afghan;Afghanistani
afloat,adrift;aimless;directionless;planless;rudderless;undirected|awash;flooded;inundated;overflowing
aflutter,nervous
afoot,underway
aforementioned,aforesaid;said
afoul,foul;fouled
african,African
african,African
aft,abaft;astern
agape,agape love|love feast
agape,gaping
aged,elderly
aged,age|senesce;age;get on;mature;maturate|age
aged,elderly;older;senior|of age|ripened|cured
ageing,ripening;aging|aging;senescence
ageing,age|senesce;age;get on;mature;maturate|age
ageing,aging;senescent
aggravated,worsen;aggravate;exacerbate;exasperate|exacerbate;exasperate;aggravate
aggravated,provoked
aggravating,worsen;aggravate;exacerbate;exasperate|exacerbate;exasperate;aggravate
aggravating,exacerbating;exasperating
aggregate,sum;total;totality|congeries;conglomeration
aggregate,combine
aggregate,aggregated;aggregative;mass
aggressive,fast-growing;strong-growing|belligerent
aghast,appalled;dismayed;shocked
agile,nimble;quick;spry|nimble
aging,ripening;ageing|ageing;senescence
aging,age|senesce;age;get on;mature;maturate|age
aging,ageing;senescent
agitated,agitate;foment;stir up|agitate;rouse;turn on;charge;commove;excite;charge up|crusade;fight;press;campaign;push;agitate|stir;shift;budge;agitate|shake;agitate|agitate;vex;disturb;commove;shake up;stir up;raise up
agitating,agitate;foment;stir up|agitate;rouse;turn on;charge;commove;excite;charge up|crusade;fight;press;campaign;push;agitate|stir;shift;budge;agitate|shake;agitate|agitate;vex;disturb;commove;shake up;stir up;raise up
agitating,agitative;provoking
aglow,lambent;lucent;luminous
agnostic,doubter
agnostic,agnostical
ago,agone
agonized,agonize;agonise|agonize;agonise
agonized,agonised
agonizing,agonize;agonise|agonize;agonise
agonizing,agonising;excruciating;harrowing;torturing;torturous;torturesome
agrarian,agricultural;farming
agreeable,accordant;conformable;consonant;concordant
agreed,agree;hold;concur;concord|agree|match;fit;correspond;check;jibe;gibe;tally;agree|harmonize;harmonise;consort;accord;concord;fit in;agree|agree|agree|agree
agreed,in agreement
agricultural,agrarian;farming
ahead,in the lead;leading
ahead,in front;before|forward|onward;onwards;forward;forwards;forrader|in advance;beforehand|out front;in the lead
aided,help;assist;aid|help;aid
aided,assisted
ailing,ail|trouble;ail;pain
ailing,indisposed;peaked;poorly;sickly;unwell;under the weather;seedy
aimless,adrift;afloat;directionless;planless;rudderless;undirected|drifting;floating;vagabond;vagrant
aired,air out;air;aerate|air|air;send;broadcast;beam;transmit|publicize;publicise;air;bare|air|vent;ventilate;air out;air
aired,airy
akin,kindred|blood-related;cognate;consanguine;consanguineous;consanguineal;kin
alarmed,dismay;alarm;appal;appall;horrify|alarm;alert
alarming,dismay;alarm;appal;appall;horrify|alarm;alert
albanian,Albanian|Albanian
albanian,Albanian
alcoholic,alky;dipsomaniac;boozer;lush;soaker;souse
alcoholic,alcohol-dependent
alert,qui vive|alerting|alarm;warning signal;alarum
alert,alarm
alert,watchful
alert,brisk;lively;merry;rattling;snappy;spanking;zippy|alive;awake
alfresco,open-air
alfresco,outside;outdoors;out of doors
algerian,Algerian
algerian,Algerian
alien,foreigner;noncitizen;outlander|stranger;unknown|extraterrestrial being;extraterrestrial
alien,alienate|estrange;alienate;disaffect
alien,foreign|exotic
alienated,estrange;alienate;alien;disaffect|alien;alienate|alienate
alienated,anomic;disoriented|estranged
alienating,estrange;alienate;alien;disaffect|alien;alienate|alienate
alight,light;perch|climb down
alight,ablaze;afire;aflame;aflare;on fire
aligned,align;aline;line up;adjust|align|align;array|align;ordinate;coordinate
aligning,align;aline;line up;adjust|align|align;array|align;ordinate;coordinate
aligning,positioning
alike,similar;like
alike,likewise
alive,live|animated
alive,active|alert;awake|live
alleged,allege;aver;say
alleged,so-called;supposed
allegorical,allegoric
allergic,hypersensitive;hypersensitized;hypersensitised;sensitized;sensitised;supersensitive;supersensitized;supersensitised
allied,ally
allied,Allied|Allied
allied,confederate;confederative
allotted,assign;allot;portion|accord;allot;grant|distribute;administer;mete out;deal;parcel out;lot;dispense;shell out;deal out;dish out;allot;dole out
allowable,permissible
almighty,Godhead;Lord;Creator;Maker;Divine;God Almighty;Almighty;Jehovah
almighty,all-powerful;omnipotent
alone,lone;lonely;solitary|only|unique;unequaled;unequalled;unparalleled
alone,entirely;exclusively;solely;only|solo;unaccompanied
aloof,distant;upstage
alpine,Alpine
alright,all right|very well;fine;all right;OK|okay;O.K.;all right
altered,change;alter;modify|change;alter;vary|alter|interpolate;alter;falsify|alter;neuter;spay;castrate
altered,neutered|adapted
alternate,surrogate;replacement
alternate,jump|understudy|interchange;tack;switch;flip;flip-flop|take turns
alternate,alternative;substitute|alternating
alternating,alternate;jump|alternate|understudy;alternate|interchange;tack;switch;alternate;flip;flip-flop|alternate;take turns
alternating,alternate
alternative,option;choice
alternative,alternate;substitute
alto,contralto|countertenor
alto,contralto|countertenor
altruistic,selfless
amateur,recreational;unpaid|amateurish;inexpert;unskilled
amateurish,amateur;inexpert;unskilled
amazed,amaze;astonish;astound|perplex;vex;stick;get;puzzle;mystify;baffle;beat;pose;bewilder;flummox;stupefy;nonplus;gravel;amaze;dumbfound
amazed,astonied;astonished;astounded;stunned
amazing,amaze;astonish;astound|perplex;vex;stick;get;puzzle;mystify;baffle;beat;pose;bewilder;flummox;stupefy;nonplus;gravel;amaze;dumbfound
amazing,astonishing|awe-inspiring;awesome;awful;awing
amber,gold
amber,brownish-yellow;yellow-brown
ambiguous,equivocal
ambitious,challenging
ambulatory,ambulant
amended,amend|better;improve;amend;ameliorate;meliorate|rectify;remediate;remedy;repair;amend
american,American|American English;American language;American|American
american,American|American
amiable,good-humored;good-humoured|affable;cordial;genial
amino,amino group
amino,aminic
amiss,awry;haywire;wrong
amiss,awry|imperfectly
amniotic,amnionic;amnic
amok,amuck;berserk;demoniac;demoniacal;possessed
amok,amuck|amuck;murderously
amphibian,amphibious vehicle|amphibious aircraft
amphibian,amphibious
amphibious,amphibian
ample,copious;plenteous;plentiful;rich|sizable;sizeable
amused,amuse;divert;disport|amuse
amused,diverted;entertained
amusing,amuse;divert;disport|amuse
amusing,amusive;diverting|comic;comical;funny;laughable;mirthful;risible
anachronistic,anachronic;anachronous
anaerobic,anaerobiotic
analog,analogue;parallel
analog,analogue;linear
analogous,correspondent
analytic,analytical|uninflected|analytical
analytical,analytic|analytic
analyzed,analyze;analyse;study;examine;canvass;canvas|analyze;analyse;break down;dissect;take apart|analyze;analyse|analyze;analyse;psychoanalyze;psychoanalyse
anarchic,anarchical;lawless
anatomical,anatomical reference
anatomical,anatomic|anatomic
ancestral,hereditary;patrimonial;transmissible
ancient,antediluvian
ancillary,accessory;adjunct;adjuvant;appurtenant;auxiliary
andalusian,Andalusian
andean,Andean
anecdotal,anecdotic;anecdotical
anemic,anaemic
anemic,anaemic
angered,anger|anger;see red
angered,enraged;furious;infuriated;maddened
angled,angle|lean;tilt;tip;slant;angle|fish;angle|angle|slant;angle;weight
anglican,Anglican
anglican,Anglican
angolan,Angolan
angolan,Angolan
angry,furious;raging;tempestuous;wild
anguished,anguish|pain;anguish;hurt
anguished,tormented;tortured
animal,animate being;beast;brute;creature;fauna
animal,carnal;fleshly;sensual
animate,inspire;invigorate;enliven;exalt|animize;animise|enliven;liven;liven up;invigorate|recreate;reanimate;revive;renovate;repair;quicken;vivify;revivify
animate,sentient
